#,Team,Pld,W-D-L,+/-,GD,Pts,Ovr
1 (C),Tottenham Hotspur,38,22-5-11,85-50,35,71,1987
2 (P),Dundee Utd,38,20-10-8,76-48,28,70,1555
3 (P),Everton,38,19-11-8,81-56,25,68,1980
4 ,Dundalk,38,20-8-10,77-60,17,68,1670
5 ,Wolverhampton Wanderers,38,20-4-14,79-76,3,64,1668
6 ,Rangers,38,19-4-15,80-69,11,61,1557
7 ,Drogheda,38,19-4-15,71-63,8,61,1590
8 ,Bohemians,38,19-3-16,63-58,5,60,1266
9 ,Hibernian,38,18-6-14,70-70,0,60,1468
10 ,Dundee,38,17-5-16,80-80,0,56,1456
11 ,Celtic,38,15-7-16,81-72,9,52,1259
12 ,Aberdeen,38,13-10-15,73-83,-10,49,1606
13 ,Shelbourne,38,13-7-18,68-76,-8,46,1560
14 ,Ross County,38,12-10-16,58-68,-10,46,1301
15 ,Galway Utd FC,38,13-5-20,72-80,-8,44,1408
16 ,Derry City,38,13-5-20,53-71,-18,44,1277
17 ,Motherwell,38,10-11-17,68-85,-17,41,1236
18 ,Shamrock Rovers,38,12-5-21,63-89,-26,41,1321
19 ,Heart of Midlothian,38,11-6-21,61-85,-24,39,1337
20 ,Kilmarnock,38,8-8-22,61-81,-20,32,1274
