#,Team,Pld,Pts,W-D-L,+/-,GD,Ovr
1 (C),Falkirk Celtic,18,40,12-4-2,40-19,21,2131
2 (P),Thornton Heath FC,18,35,10-5-3,41-24,17,1622
3 ,Highbury Celtic,18,33,10-3-5,44-23,21,1920
4 ,Portsmouth Harriers,18,30,9-3-6,36-29,7,1840
5 ,Waterlooville Vale,18,26,7-5-6,34-33,1,1158
6 ,Hornchurch Athletic,18,24,7-3-8,26-27,-1,1568
7 ,Walton upon Thames Borough,18,24,7-3-8,33-35,-2,904
8 ,Derby Rangers,18,18,5-3-10,29-38,-9,629
9 (R),Letchworth Northfleet,18,12,2-6-10,15-44,-29,655
10 (R),Worthing Town,18,10,3-1-14,23-49,-26,833
